soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease,soil_type_encoded,Disease_encoded
Limoneux,7.2,31.1,52.6,1.09,133.3,128.0,31.0,11.8,Élevée,Anthracnose,4,0
Limoneux,7.1,27.2,46.3,1.07,89.7,75.9,10.6,22.9,Moyenne,Anthracnose,4,0
Limoneux,6.9,31.0,45.6,0.82,83.4,120.9,13.9,7.8,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.8,35.8,30.2,0.47,94.2,164.8,13.8,12.7,Faible,Fusariose,1,2
Argilo-sableux,6.0,28.8,31.6,0.61,110.0,114.2,34.1,6.6,Moyenne,Nématodose,0,3
Limoneux,7.5,31.2,46.3,0.81,117.9,130.3,22.5,20.2,Moyenne,Anthracnose,4,0
Hydromorphes,6.2,26.7,58.2,1.29,121.7,170.2,24.7,6.0,Moyenne,Charcoal Rot,3,1
Graveleux,5.6,34.4,18.6,0.21,121.4,84.4,34.7,14.0,Faible,Nématodose,2,3
Hydromorphes,6.7,27.7,51.4,1.14,149.9,106.0,19.4,7.9,Moyenne,Sclérotiniose,3,4
Ferrugineux tropicaux,5.2,35.8,28.9,0.48,95.3,103.9,16.6,29.7,Faible,Charcoal Rot,1,1
Limoneux,7.1,30.3,51.0,0.85,89.1,86.7,23.6,6.4,Moyenne,Charcoal Rot,4,1
Limoneux,7.5,26.5,53.8,0.96,84.8,166.9,37.5,14.3,Moyenne,Charcoal Rot,4,1
Sableux,6.1,37.4,31.0,0.28,103.6,169.7,27.2,24.7,Faible,Charcoal Rot,5,1
Hydromorphes,6.2,26.9,63.0,1.45,127.1,192.5,25.2,12.6,Moyenne,Fusariose,3,2
Argilo-sableux,6.7,33.0,35.1,0.55,79.8,71.6,28.7,26.6,Moyenne,Sclérotiniose,0,4
Ferrugineux tropicaux,5.8,34.4,39.8,0.33,132.0,197.4,11.6,18.8,Faible,Sclérotiniose,1,4
Graveleux,6.0,38.9,19.2,0.26,145.8,129.7,34.6,25.6,Faible,Fusariose,2,2
Hydromorphes,6.7,29.5,55.9,1.16,116.3,114.8,29.5,6.1,Moyenne,Sclérotiniose,3,4
Hydromorphes,6.8,26.8,55.7,1.09,70.9,145.3,16.8,24.4,Moyenne,Fusariose,3,2
Limoneux,6.5,28.7,54.5,0.88,133.7,75.8,36.1,8.6,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.3,30.5,26.9,0.35,72.3,74.4,38.5,25.2,Faible,Charcoal Rot,1,1
Ferrugineux tropicaux,5.5,34.5,36.3,0.44,116.6,96.3,34.5,11.2,Faible,Nématodose,1,3
Sableux,5.8,35.9,28.6,0.39,101.6,130.7,27.0,10.3,Faible,Charcoal Rot,5,1
Graveleux,5.0,40.0,29.7,0.25,140.1,134.9,18.3,7.9,Faible,Anthracnose,2,0
Graveleux,6.0,37.3,18.5,0.17,111.4,150.3,39.6,16.8,Faible,Fusariose,2,2
Sableux,5.6,34.7,26.8,0.28,102.6,186.7,33.4,27.3,Faible,Sclérotiniose,5,4
Ferrugineux tropicaux,5.8,32.3,27.1,0.37,98.7,189.8,34.9,16.0,Faible,Fusariose,1,2
Sableux,6.2,36.2,34.6,0.34,103.5,171.4,31.3,8.1,Faible,Fusariose,5,2
Graveleux,5.1,40.0,29.4,0.23,138.2,196.4,20.9,17.0,Faible,Anthracnose,2,0
Argilo-sableux,6.7,31.0,36.1,0.66,85.6,94.9,33.4,14.3,Moyenne,Nématodose,0,3
Sableux,6.4,32.5,22.0,0.23,131.4,118.3,21.0,24.5,Faible,Anthracnose,5,0
Hydromorphes,6.1,29.8,50.0,1.13,90.6,154.7,23.5,14.0,Moyenne,Fusariose,3,2
Sableux,5.9,33.0,27.7,0.38,146.0,156.3,32.2,7.5,Faible,Nématodose,5,3
Hydromorphes,6.5,29.2,55.0,1.34,140.8,154.0,15.1,22.6,Moyenne,Fusariose,3,2
Argilo-sableux,6.8,30.8,40.2,0.5,120.3,116.6,19.4,5.1,Moyenne,Charcoal Rot,0,1
Limoneux,6.6,27.3,43.0,1.1,116.0,87.3,32.5,22.4,Élevée,Anthracnose,4,0
Argilo-sableux,6.6,28.6,38.8,0.63,99.1,174.2,31.8,13.2,Moyenne,Nématodose,0,3
Hydromorphes,6.1,28.6,61.6,1.44,98.5,143.2,37.2,15.3,Élevée,Nématodose,3,3
Limoneux,7.1,28.9,49.1,0.93,123.1,115.0,15.1,17.3,Moyenne,Anthracnose,4,0
Hydromorphes,6.3,25.7,62.1,1.18,72.6,171.4,20.3,12.0,Moyenne,Fusariose,3,2
Ferrugineux tropicaux,6.0,30.3,39.0,0.39,121.8,106.6,19.9,27.6,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.3,30.9,21.3,0.48,78.5,84.2,13.0,14.9,Faible,Nématodose,1,3
Limoneux,6.8,28.6,49.9,1.09,81.4,131.2,25.5,28.1,Moyenne,Nématodose,4,3
Hydromorphes,6.3,27.2,58.9,1.01,106.9,170.8,22.7,12.4,Moyenne,Sclérotiniose,3,4
Limoneux,7.0,27.9,49.3,1.07,92.4,139.1,37.8,16.7,Élevée,Fusariose,4,2
Argilo-sableux,6.9,29.0,44.6,0.65,131.4,74.0,19.7,15.8,Moyenne,Fusariose,0,2
Hydromorphes,6.3,29.1,64.1,1.01,92.2,137.5,18.0,6.6,Moyenne,Anthracnose,3,0
Graveleux,5.9,36.3,18.5,0.3,95.0,96.3,11.0,5.4,Faible,Anthracnose,2,0
Limoneux,6.5,31.6,51.6,1.1,107.6,132.4,10.0,13.6,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.6,34.4,36.9,0.39,105.7,141.2,30.0,8.9,Faible,Charcoal Rot,1,1
Sableux,6.0,34.5,23.8,0.25,66.4,151.9,34.3,15.4,Faible,Nématodose,5,3
Graveleux,5.8,34.2,16.5,0.18,75.1,103.6,26.7,19.2,Faible,Sclérotiniose,2,4
Limoneux,6.8,27.6,50.5,1.0,134.1,75.7,29.0,12.2,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.4,35.0,26.0,0.36,62.9,140.7,18.5,27.6,Faible,Sclérotiniose,1,4
Argilo-sableux,6.6,29.5,41.3,0.66,106.1,105.5,29.9,19.9,Moyenne,Sclérotiniose,0,4
Ferrugineux tropicaux,5.4,31.8,20.1,0.32,125.0,189.8,35.8,24.1,Faible,Sclérotiniose,1,4
Hydromorphes,6.5,29.5,58.8,1.19,101.6,176.8,21.2,5.2,Moyenne,Charcoal Rot,3,1
Graveleux,5.8,37.8,27.0,0.17,90.8,136.7,15.1,5.8,Faible,Fusariose,2,2
Argilo-sableux,6.1,30.7,41.6,0.65,142.6,109.1,18.9,24.7,Moyenne,Fusariose,0,2
Limoneux,6.6,27.1,49.2,0.83,82.0,163.3,35.8,24.2,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.8,34.5,39.5,0.31,89.7,107.5,17.2,9.8,Faible,Nématodose,1,3
Hydromorphes,6.0,25.6,54.1,1.38,110.1,161.0,15.1,20.7,Moyenne,Fusariose,3,2
Graveleux,5.2,34.2,17.2,0.24,115.5,125.7,35.5,29.3,Faible,Sclérotiniose,2,4
Sableux,5.8,33.4,27.1,0.25,96.5,143.8,26.0,7.0,Faible,Sclérotiniose,5,4
Argilo-sableux,6.7,30.7,36.0,0.61,69.9,178.8,29.6,21.4,Moyenne,Fusariose,0,2
Graveleux,5.9,35.5,23.7,0.29,88.2,105.7,30.1,16.1,Faible,Sclérotiniose,2,4
Argilo-sableux,6.8,29.0,32.4,0.55,71.1,121.4,14.3,18.2,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.6,28.8,56.6,1.05,125.4,142.2,24.3,19.2,Moyenne,Charcoal Rot,3,1
Graveleux,5.0,36.3,22.8,0.11,71.3,133.6,28.2,26.5,Faible,Fusariose,2,2
Argilo-sableux,6.1,30.7,40.7,0.53,111.0,195.4,30.9,24.7,Moyenne,Sclérotiniose,0,4
Sableux,6.2,35.9,27.3,0.38,141.9,97.7,13.7,14.2,Faible,Fusariose,5,2
Sableux,5.6,32.2,20.5,0.24,121.5,109.6,21.5,22.8,Faible,Fusariose,5,2
Graveleux,5.0,39.3,24.0,0.3,103.1,78.2,33.0,16.2,Faible,Anthracnose,2,0
Graveleux,5.5,36.8,26.9,0.28,69.5,156.4,36.0,21.3,Faible,Sclérotiniose,2,4
Hydromorphes,6.9,26.9,51.0,1.47,120.6,114.7,14.6,23.0,Moyenne,Sclérotiniose,3,4
Sableux,6.0,35.9,32.8,0.27,116.5,75.8,25.2,29.8,Faible,Charcoal Rot,5,1
Argilo-sableux,6.1,32.6,32.9,0.54,98.4,112.5,29.0,9.0,Moyenne,Fusariose,0,2
Hydromorphes,6.2,30.0,60.4,1.08,79.1,150.4,23.1,26.0,Moyenne,Nématodose,3,3
Sableux,5.7,35.3,33.7,0.36,113.5,133.0,37.5,28.7,Faible,Charcoal Rot,5,1
Sableux,5.5,32.7,33.6,0.29,131.5,169.7,12.6,23.1,Faible,Charcoal Rot,5,1
Limoneux,7.3,26.7,52.1,0.89,97.3,149.4,16.8,12.7,Moyenne,Fusariose,4,2
Graveleux,5.6,35.8,28.3,0.28,131.6,73.4,25.2,18.0,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.6,35.1,24.9,0.31,145.0,99.1,13.1,12.1,Faible,Fusariose,1,2
Hydromorphes,6.9,29.1,50.1,1.32,125.0,155.1,27.6,24.2,Moyenne,Nématodose,3,3
Ferrugineux tropicaux,5.5,35.6,35.4,0.35,136.3,133.3,33.1,19.4,Faible,Charcoal Rot,1,1
Ferrugineux tropicaux,5.2,33.2,20.6,0.42,75.5,116.6,17.3,25.7,Faible,Sclérotiniose,1,4
Graveleux,5.9,39.2,23.3,0.2,87.5,196.0,12.3,7.7,Faible,Sclérotiniose,2,4
Graveleux,5.6,36.5,23.0,0.16,111.2,194.3,12.7,16.9,Faible,Charcoal Rot,2,1
Hydromorphes,6.4,25.9,55.4,1.11,68.1,116.3,12.5,5.2,Moyenne,Sclérotiniose,3,4
Graveleux,6.0,37.9,26.6,0.23,148.1,96.8,29.9,27.8,Faible,Fusariose,2,2
Graveleux,5.7,37.0,16.4,0.25,134.4,119.0,26.7,18.5,Faible,Fusariose,2,2
Sableux,5.7,37.1,26.8,0.25,68.6,135.3,13.4,20.8,Faible,Anthracnose,5,0
Sableux,6.0,34.0,28.7,0.36,108.5,109.4,16.7,19.5,Faible,Anthracnose,5,0
Argilo-sableux,6.1,32.9,33.9,0.68,68.4,124.4,12.1,5.6,Moyenne,Charcoal Rot,0,1
Sableux,6.1,34.9,21.8,0.25,131.3,179.1,26.4,5.4,Faible,Anthracnose,5,0
Sableux,6.0,33.7,28.3,0.27,118.4,131.0,30.4,25.1,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.4,34.0,21.0,0.33,126.2,79.1,31.6,12.8,Faible,Sclérotiniose,1,4
Graveleux,5.7,34.5,23.1,0.16,63.1,86.1,36.0,12.9,Faible,Anthracnose,2,0
Graveleux,5.5,36.2,25.4,0.18,135.3,180.1,34.6,23.7,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.6,35.2,39.9,0.47,92.4,71.0,12.3,19.2,Faible,Anthracnose,1,0
Argilo-sableux,6.2,32.4,33.5,0.53,80.7,92.6,25.0,11.8,Moyenne,Nématodose,0,3
Hydromorphes,6.5,28.0,51.0,1.08,98.8,152.7,23.7,15.4,Moyenne,Anthracnose,3,0
Sableux,6.0,36.4,29.5,0.33,95.1,85.1,33.1,17.7,Faible,Charcoal Rot,5,1
Argilo-sableux,6.8,29.0,44.5,0.68,107.1,166.0,28.7,20.9,Moyenne,Charcoal Rot,0,1
Graveleux,6.0,35.3,18.5,0.18,110.0,197.8,12.8,29.7,Faible,Sclérotiniose,2,4
Graveleux,5.3,34.1,18.3,0.19,110.7,196.6,33.4,18.6,Faible,Fusariose,2,2
Graveleux,5.1,38.7,17.8,0.26,144.3,92.3,11.7,14.0,Faible,Anthracnose,2,0
Hydromorphes,6.7,27.3,54.6,1.22,127.2,167.7,14.2,9.7,Moyenne,Fusariose,3,2
Ferrugineux tropicaux,5.2,33.1,28.7,0.35,91.8,74.7,34.1,29.7,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.6,32.3,33.9,0.4,141.3,73.7,18.8,9.1,Faible,Sclérotiniose,1,4
Argilo-sableux,6.1,30.1,33.2,0.66,102.5,81.7,17.0,25.2,Moyenne,Sclérotiniose,0,4
Argilo-sableux,7.0,29.3,34.3,0.62,134.1,105.5,21.3,28.0,Moyenne,Sclérotiniose,0,4
Argilo-sableux,6.3,31.9,44.6,0.64,63.2,162.6,38.8,13.5,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,6.0,34.2,28.1,0.37,61.7,178.4,29.7,7.2,Faible,Nématodose,1,3
Sableux,6.1,34.6,27.1,0.22,114.6,198.9,33.5,30.0,Faible,Fusariose,5,2
Argilo-sableux,6.5,32.3,33.2,0.51,102.9,76.7,33.5,12.6,Moyenne,Nématodose,0,3
Hydromorphes,6.4,28.8,56.8,1.33,118.0,81.1,13.9,19.4,Moyenne,Fusariose,3,2
Hydromorphes,6.3,27.2,51.3,1.21,137.3,127.5,18.5,21.0,Moyenne,Fusariose,3,2
Limoneux,6.5,30.9,53.5,1.07,126.0,121.6,24.6,15.5,Moyenne,Anthracnose,4,0
Limoneux,6.8,26.9,43.0,0.98,123.5,113.7,39.5,28.6,Moyenne,Sclérotiniose,4,4
Ferrugineux tropicaux,5.7,33.1,24.5,0.49,62.5,169.9,28.1,20.3,Faible,Sclérotiniose,1,4
Hydromorphes,6.7,29.1,63.7,1.35,103.7,108.6,33.9,22.2,Élevée,Charcoal Rot,3,1
Argilo-sableux,6.3,31.0,41.1,0.61,123.9,126.4,36.1,15.7,Moyenne,Sclérotiniose,0,4
Sableux,6.1,36.3,28.6,0.3,99.3,136.0,37.5,21.6,Faible,Fusariose,5,2
Graveleux,5.8,35.0,29.9,0.18,81.8,118.8,14.4,18.3,Faible,Anthracnose,2,0
Graveleux,5.5,39.2,29.9,0.13,105.1,182.2,30.1,21.8,Faible,Fusariose,2,2
Sableux,5.5,33.0,27.9,0.23,126.1,195.2,36.6,26.1,Faible,Anthracnose,5,0
Argilo-sableux,6.3,32.3,31.0,0.54,121.7,139.8,27.9,26.2,Moyenne,Nématodose,0,3
Limoneux,7.4,31.7,43.4,1.06,83.5,167.3,21.2,25.9,Moyenne,Sclérotiniose,4,4
Sableux,6.2,36.9,29.5,0.38,81.1,177.1,17.6,24.9,Faible,Anthracnose,5,0
Hydromorphes,6.4,27.9,66.0,1.12,74.8,76.3,34.0,7.3,Élevée,Charcoal Rot,3,1
Ferrugineux tropicaux,5.9,35.0,23.7,0.35,78.1,128.1,37.3,17.8,Faible,Anthracnose,1,0
Ferrugineux tropicaux,5.5,32.3,32.7,0.38,131.9,198.3,15.5,13.4,Faible,Nématodose,1,3
Argilo-sableux,6.6,28.3,36.3,0.54,117.0,134.3,17.8,27.9,Moyenne,Anthracnose,0,0
Limoneux,7.4,30.6,54.1,0.98,144.2,185.4,25.8,14.6,Moyenne,Anthracnose,4,0
Graveleux,5.4,35.0,28.9,0.19,84.8,184.9,35.5,27.0,Faible,Fusariose,2,2
Argilo-sableux,6.2,28.1,36.2,0.68,101.3,95.1,13.5,13.7,Moyenne,Charcoal Rot,0,1
Sableux,5.6,32.3,30.8,0.38,94.4,105.5,10.6,9.9,Faible,Nématodose,5,3
Limoneux,6.9,26.7,42.0,0.86,143.6,198.2,13.2,29.6,Moyenne,Fusariose,4,2
Limoneux,7.3,30.0,40.5,0.92,74.1,119.1,38.6,25.3,Moyenne,Anthracnose,4,0
Graveleux,5.8,34.8,15.4,0.23,111.0,94.2,39.8,27.7,Faible,Nématodose,2,3
Limoneux,6.7,29.4,54.5,1.1,115.9,92.7,35.0,29.1,Élevée,Anthracnose,4,0
Hydromorphes,6.9,25.7,54.3,1.47,127.2,171.5,32.6,27.2,Élevée,Anthracnose,3,0
Graveleux,5.8,38.6,28.1,0.29,128.0,112.5,22.3,17.2,Faible,Sclérotiniose,2,4
Sableux,6.1,33.0,26.0,0.3,97.2,89.1,31.1,14.5,Faible,Charcoal Rot,5,1
Argilo-sableux,6.1,28.2,34.9,0.53,120.1,184.5,14.6,28.4,Moyenne,Nématodose,0,3
Sableux,5.6,33.8,20.3,0.21,80.1,182.8,24.8,9.5,Faible,Nématodose,5,3
Sableux,5.5,35.0,33.9,0.37,85.4,199.9,35.3,23.9,Faible,Fusariose,5,2
Argilo-sableux,6.1,33.0,36.2,0.69,122.0,194.0,15.1,23.9,Moyenne,Charcoal Rot,0,1
Graveleux,5.5,37.9,23.5,0.28,136.1,97.4,34.1,25.7,Faible,Fusariose,2,2
Limoneux,7.3,27.5,49.4,0.81,126.2,83.2,35.1,17.3,Moyenne,Sclérotiniose,4,4
Limoneux,7.2,27.8,48.5,1.08,97.2,199.6,24.4,28.0,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.2,35.5,34.2,0.41,112.4,154.7,26.3,19.5,Faible,Charcoal Rot,1,1
Argilo-sableux,6.9,29.5,38.7,0.5,123.2,103.4,18.6,6.2,Moyenne,Charcoal Rot,0,1
Argilo-sableux,6.0,32.1,44.9,0.51,93.2,99.5,28.2,6.3,Moyenne,Sclérotiniose,0,4
Graveleux,5.3,39.0,21.4,0.28,95.6,77.7,12.9,24.1,Faible,Sclérotiniose,2,4
Limoneux,7.0,30.0,51.8,0.89,91.3,76.0,15.6,21.7,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.4,30.6,26.7,0.35,132.6,174.6,35.3,20.2,Faible,Anthracnose,1,0
Hydromorphes,6.8,29.8,56.0,1.25,120.5,135.9,33.2,6.4,Élevée,Charcoal Rot,3,1
Limoneux,6.7,26.3,52.9,1.01,86.2,179.5,21.8,10.5,Moyenne,Charcoal Rot,4,1
Argilo-sableux,6.9,32.4,39.5,0.61,105.5,165.4,39.1,22.2,Moyenne,Anthracnose,0,0
Sableux,6.3,37.5,22.5,0.38,87.8,192.8,26.4,22.0,Faible,Nématodose,5,3
Hydromorphes,6.7,27.3,50.4,1.2,122.1,141.7,22.4,26.5,Moyenne,Charcoal Rot,3,1
Graveleux,5.3,37.0,25.9,0.14,89.8,196.4,20.6,7.7,Faible,Charcoal Rot,2,1
Sableux,6.4,36.2,30.4,0.36,111.2,165.7,17.6,7.2,Faible,Charcoal Rot,5,1
Argilo-sableux,6.9,31.7,39.7,0.66,126.4,75.7,14.6,26.9,Moyenne,Charcoal Rot,0,1
Limoneux,6.6,27.8,48.1,0.84,123.2,74.3,39.2,15.5,Moyenne,Sclérotiniose,4,4
Graveleux,5.8,37.3,22.9,0.13,93.4,124.7,23.5,13.1,Faible,Nématodose,2,3
Argilo-sableux,6.7,32.6,43.9,0.65,104.4,112.9,19.3,27.7,Moyenne,Fusariose,0,2
Hydromorphes,6.6,25.1,57.3,1.14,64.0,141.4,37.1,29.3,Élevée,Anthracnose,3,0
Limoneux,7.2,31.7,46.7,0.9,73.6,85.6,31.8,29.2,Moyenne,Fusariose,4,2
Limoneux,7.0,29.0,44.1,1.0,75.3,186.6,18.0,29.1,Moyenne,Nématodose,4,3
Argilo-sableux,6.1,30.3,39.1,0.58,124.1,94.3,13.0,21.1,Moyenne,Anthracnose,0,0
Argilo-sableux,6.9,29.3,43.7,0.57,124.1,129.4,21.9,14.5,Moyenne,Charcoal Rot,0,1
Hydromorphes,7.0,28.5,67.8,1.46,72.1,173.6,11.3,15.3,Moyenne,Fusariose,3,2
Ferrugineux tropicaux,5.1,31.1,26.7,0.37,95.9,151.5,25.8,16.7,Faible,Charcoal Rot,1,1
Argilo-sableux,6.4,32.7,33.1,0.57,134.3,101.3,21.6,23.1,Moyenne,Fusariose,0,2
Argilo-sableux,6.6,28.2,35.9,0.6,124.0,160.3,35.0,16.0,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.7,27.7,58.9,1.01,114.7,92.9,25.3,20.6,Moyenne,Sclérotiniose,3,4
Graveleux,5.5,34.8,27.6,0.24,85.2,142.0,16.2,28.9,Faible,Anthracnose,2,0
Graveleux,5.3,36.5,25.4,0.23,75.4,76.8,34.1,8.5,Faible,Nématodose,2,3
Sableux,5.6,35.9,32.3,0.27,139.1,99.2,14.1,16.5,Faible,Fusariose,5,2
Sableux,5.7,32.9,31.8,0.23,98.3,138.0,21.3,7.2,Faible,Charcoal Rot,5,1
Sableux,5.6,33.9,21.0,0.27,92.6,89.7,26.2,17.9,Faible,Anthracnose,5,0
Argilo-sableux,6.8,28.5,44.6,0.65,145.4,174.0,23.3,14.2,Moyenne,Anthracnose,0,0
Limoneux,7.4,29.1,42.3,0.93,71.8,130.4,11.6,29.2,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.2,33.7,24.4,0.3,132.7,190.8,24.6,24.3,Faible,Anthracnose,1,0
Argilo-sableux,7.0,29.2,41.8,0.67,104.8,137.2,21.4,15.6,Moyenne,Nématodose,0,3
Argilo-sableux,6.9,31.7,39.8,0.61,78.9,188.7,28.6,12.1,Moyenne,Charcoal Rot,0,1
Ferrugineux tropicaux,5.5,30.8,28.4,0.49,65.4,186.7,15.2,15.4,Faible,Sclérotiniose,1,4
Graveleux,5.1,36.3,16.2,0.15,97.8,137.0,14.3,8.7,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.9,35.6,25.6,0.31,130.8,193.9,23.7,14.6,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.8,32.7,35.4,0.42,89.9,76.7,11.3,8.7,Faible,Sclérotiniose,1,4
Argilo-sableux,6.3,31.7,43.5,0.62,112.3,181.3,11.2,17.0,Moyenne,Fusariose,0,2
Hydromorphes,6.0,29.7,66.0,1.22,113.7,93.3,12.1,6.5,Moyenne,Sclérotiniose,3,4
Ferrugineux tropicaux,5.8,32.7,20.7,0.45,99.2,101.7,23.9,19.8,Faible,Nématodose,1,3
Sableux,5.7,37.6,23.9,0.28,75.0,74.3,23.6,13.4,Faible,Anthracnose,5,0
Hydromorphes,6.2,27.7,59.7,1.46,76.5,109.4,35.2,26.1,Élevée,Fusariose,3,2
Argilo-sableux,6.7,33.9,35.0,0.64,62.7,170.8,33.2,17.4,Moyenne,Nématodose,0,3
Limoneux,6.9,27.0,42.3,1.04,146.4,150.7,22.9,27.4,Moyenne,Fusariose,4,2
Argilo-sableux,6.3,33.0,44.9,0.68,97.3,129.2,24.9,5.1,Moyenne,Fusariose,0,2
Graveleux,5.6,35.3,24.2,0.21,85.8,130.4,23.1,9.2,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.0,31.4,26.9,0.42,139.0,189.0,11.7,17.9,Faible,Anthracnose,1,0
Hydromorphes,6.3,27.5,61.5,1.23,62.2,85.6,10.7,18.4,Moyenne,Nématodose,3,3
Graveleux,5.1,35.7,23.9,0.26,116.2,161.0,18.0,28.4,Faible,Anthracnose,2,0
Limoneux,7.1,29.7,49.1,0.88,141.6,171.6,14.1,29.9,Moyenne,Fusariose,4,2
Hydromorphes,6.9,27.6,61.2,1.1,73.1,177.1,18.6,24.2,Moyenne,Sclérotiniose,3,4
Sableux,5.8,32.4,29.7,0.22,110.1,186.0,39.9,7.8,Faible,Charcoal Rot,5,1
Limoneux,6.7,29.8,53.7,1.14,67.1,103.2,18.4,22.6,Moyenne,Sclérotiniose,4,4
Hydromorphes,6.9,26.2,51.3,1.12,119.6,124.7,22.3,8.3,Moyenne,Charcoal Rot,3,1
Ferrugineux tropicaux,5.1,31.9,23.9,0.35,69.6,187.3,25.5,10.4,Faible,Fusariose,1,2
Graveleux,5.7,39.9,15.8,0.13,123.5,181.5,14.9,27.7,Faible,Charcoal Rot,2,1
Graveleux,5.2,37.4,26.5,0.22,72.1,108.1,30.9,21.2,Faible,Nématodose,2,3
Limoneux,7.4,27.4,52.5,0.99,83.5,117.8,39.7,18.0,Moyenne,Sclérotiniose,4,4
Argilo-sableux,6.9,32.0,37.0,0.53,65.4,120.7,14.6,20.5,Moyenne,Charcoal Rot,0,1
Limoneux,7.1,28.4,49.4,1.06,96.2,99.2,25.8,8.0,Moyenne,Anthracnose,4,0
Hydromorphes,6.9,28.3,64.3,1.19,96.5,97.5,38.7,29.0,Élevée,Nématodose,3,3
Argilo-sableux,6.6,32.7,34.3,0.55,79.6,102.2,15.5,8.2,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.5,27.2,61.7,1.27,133.1,115.0,17.5,6.5,Moyenne,Anthracnose,3,0
Argilo-sableux,7.0,33.1,40.9,0.5,111.5,73.6,39.9,20.1,Moyenne,Fusariose,0,2
Limoneux,6.6,27.7,51.7,1.04,97.6,165.8,22.9,23.0,Moyenne,Nématodose,4,3
Graveleux,5.1,34.4,27.7,0.16,132.1,104.5,33.0,27.5,Faible,Fusariose,2,2
Sableux,5.7,37.1,33.4,0.33,118.6,128.5,33.3,18.0,Faible,Nématodose,5,3
Argilo-sableux,6.5,33.2,35.5,0.66,143.1,146.6,32.6,14.9,Moyenne,Sclérotiniose,0,4
Sableux,6.2,33.7,29.8,0.39,147.6,149.8,26.8,19.7,Faible,Charcoal Rot,5,1
Ferrugineux tropicaux,5.6,35.3,26.3,0.39,128.9,182.3,30.9,12.9,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.3,32.7,27.1,0.41,142.9,188.3,27.2,12.3,Faible,Anthracnose,1,0
Sableux,6.3,37.5,29.8,0.25,111.0,73.7,27.6,18.2,Faible,Sclérotiniose,5,4
Argilo-sableux,6.1,33.3,43.5,0.69,75.5,70.3,37.4,6.1,Moyenne,Sclérotiniose,0,4
Graveleux,5.8,35.4,20.5,0.12,110.5,112.3,23.2,21.6,Faible,Fusariose,2,2
Ferrugineux tropicaux,5.0,35.4,34.6,0.48,137.0,87.8,23.7,10.1,Faible,Charcoal Rot,1,1
Limoneux,6.8,28.7,40.4,1.08,129.5,176.7,35.3,21.9,Élevée,Nématodose,4,3
Graveleux,5.0,37.9,28.7,0.3,76.2,87.9,18.0,24.7,Faible,Anthracnose,2,0
Argilo-sableux,6.4,30.8,34.1,0.65,64.9,192.8,12.4,28.7,Moyenne,Nématodose,0,3
Sableux,6.1,33.1,31.7,0.34,91.1,125.5,18.6,23.3,Faible,Nématodose,5,3
Graveleux,5.4,37.1,16.9,0.25,139.4,191.4,21.2,23.4,Faible,Sclérotiniose,2,4
Limoneux,7.4,31.1,42.0,0.94,116.9,174.8,33.8,28.2,Moyenne,Nématodose,4,3
Argilo-sableux,6.2,30.4,41.9,0.65,83.3,145.7,26.8,23.0,Moyenne,Charcoal Rot,0,1
Sableux,6.1,35.1,33.4,0.36,103.9,181.4,15.3,23.0,Faible,Sclérotiniose,5,4
Limoneux,6.9,30.7,48.7,0.99,72.2,73.1,18.4,12.4,Moyenne,Charcoal Rot,4,1
Sableux,5.7,36.8,25.2,0.32,105.2,155.0,12.2,19.0,Faible,Charcoal Rot,5,1
Hydromorphes,6.1,27.6,58.6,1.23,88.8,181.7,18.5,6.1,Moyenne,Sclérotiniose,3,4
Sableux,5.8,33.1,34.4,0.38,132.1,148.7,34.6,5.2,Faible,Anthracnose,5,0
Argilo-sableux,6.7,28.5,34.8,0.68,64.9,73.3,14.0,21.2,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.0,32.2,30.9,0.42,62.1,90.6,27.4,14.0,Faible,Charcoal Rot,1,1
Hydromorphes,6.0,25.7,63.0,1.08,145.7,175.4,12.0,12.6,Moyenne,Charcoal Rot,3,1
Sableux,6.2,35.6,31.9,0.39,75.5,161.7,20.8,6.1,Faible,Anthracnose,5,0
Limoneux,7.0,31.9,46.7,1.07,70.8,141.7,14.7,23.1,Moyenne,Fusariose,4,2
