culture,pH,rainfall_mm,temperature_C
Patate douce (Sweet Potato),6.17,846.1,22.7
Mil (Pearl Millet),5.85,525.1,30.7
Arachide (Groundnut),6.06,853.5,25.0
Sésame (Sesame),6.92,683.7,34.2
Riz pluvial (Rainfed Rice),5.51,680.7,24.2
Sorgho (Sorghum),6.62,599.7,26.8
Sésame (Sesame),6.8,562.9,27.9
Gombo (Okra),5.84,671.2,24.3
Niébé (Cowpea),5.97,419.4,26.6
Sésame (Sesame),6.94,693.4,35.0
Arachide (Groundnut),6.12,815.5,22.4
Sorgho (Sorghum),6.82,546.9,34.7
Maïs (Maize),6.4,574.2,22.3
Maïs (Maize),6.07,667.1,24.6
Arachide (Groundnut),6.13,647.8,21.7
Manioc (Cassava),6.39,1407.0,30.3
Arachide (Groundnut),5.81,617.2,21.2
Maïs (Maize),6.21,616.6,26.7
Manioc (Cassava),6.92,1497.2,31.9
Gombo (Okra),6.75,697.9,26.7
Arachide (Groundnut),5.97,830.1,24.6
Mil (Pearl Millet),5.99,619.5,35.8
Gombo (Okra),6.69,892.7,32.5
Arachide (Groundnut),6.1,645.7,25.9
Arachide (Groundnut),6.14,522.5,27.3
Maïs (Maize),6.1,843.7,31.4
Mil (Pearl Millet),5.32,652.5,37.3
Maïs (Maize),6.37,877.4,31.2
Riz pluvial (Rainfed Rice),5.95,604.1,25.3
Gombo (Okra),6.13,851.0,31.8
Patate douce (Sweet Potato),5.89,915.5,26.8
Riz pluvial (Rainfed Rice),6.46,638.7,29.4
Gombo (Okra),6.5,750.5,34.1
Sésame (Sesame),6.46,603.7,28.5
Patate douce (Sweet Potato),5.88,1092.4,23.5
Arachide (Groundnut),5.88,504.8,24.2
Sésame (Sesame),6.86,648.6,30.6
Arachide (Groundnut),5.82,695.7,29.4
Patate douce (Sweet Potato),5.97,1099.2,24.4
Riz pluvial (Rainfed Rice),5.74,680.3,30.5
Gombo (Okra),6.23,717.8,26.2
Sésame (Sesame),6.08,436.8,31.9
Arachide (Groundnut),6.12,847.5,25.8
Mil (Pearl Millet),5.79,547.0,38.3
Manioc (Cassava),5.65,1430.9,25.8
Arachide (Groundnut),6.06,567.6,29.9
Manioc (Cassava),5.98,1496.1,31.1
Niébé (Cowpea),6.45,476.9,27.3
Sésame (Sesame),6.4,451.2,30.0
Patate douce (Sweet Potato),6.1,777.6,27.2
Arachide (Groundnut),5.81,699.0,22.6
Gombo (Okra),6.38,850.4,24.8
Riz pluvial (Rainfed Rice),5.98,693.4,24.3
Niébé (Cowpea),6.11,540.0,32.6
Gombo (Okra),6.01,699.0,31.0
Riz pluvial (Rainfed Rice),5.68,687.8,25.9
Arachide (Groundnut),6.07,876.4,27.0
Sésame (Sesame),6.19,537.9,26.5
Sorgho (Sorghum),6.35,468.8,25.5
Arachide (Groundnut),6.14,599.7,26.9
Mil (Pearl Millet),5.48,749.9,31.8
Sorgho (Sorghum),6.09,597.7,26.7
Mil (Pearl Millet),5.81,594.5,32.5
Patate douce (Sweet Potato),5.83,852.4,21.6
Arachide (Groundnut),5.87,872.0,22.5
Patate douce (Sweet Potato),6.12,765.0,21.7
Sésame (Sesame),6.74,661.5,31.1
Patate douce (Sweet Potato),5.9,1065.8,24.5
Niébé (Cowpea),5.96,534.4,32.8
Arachide (Groundnut),5.87,784.4,23.0
Patate douce (Sweet Potato),5.98,958.6,29.4
Riz pluvial (Rainfed Rice),6.25,643.0,24.3
Niébé (Cowpea),6.24,455.7,31.7
Patate douce (Sweet Potato),6.16,950.3,27.5
Arachide (Groundnut),5.86,875.1,25.6
Arachide (Groundnut),6.04,576.7,22.7
Patate douce (Sweet Potato),6.04,939.1,21.3
Sésame (Sesame),6.16,505.1,27.8
Maïs (Maize),6.09,573.7,23.0
Patate douce (Sweet Potato),5.92,919.8,29.2
Manioc (Cassava),6.38,1278.2,26.5
Patate douce (Sweet Potato),6.13,938.7,25.5
Riz pluvial (Rainfed Rice),6.2,673.8,30.3
Mil (Pearl Millet),5.76,501.0,40.0
Patate douce (Sweet Potato),5.85,817.6,23.5
Sésame (Sesame),6.58,606.9,27.6
Niébé (Cowpea),5.82,497.9,28.5
Sésame (Sesame),6.51,680.7,34.6
Niébé (Cowpea),6.45,549.4,35.0
Maïs (Maize),6.42,856.6,26.3
Sorgho (Sorghum),7.28,511.6,31.1
Sésame (Sesame),6.79,550.1,28.7
Niébé (Cowpea),5.98,442.1,33.5
Gombo (Okra),5.99,761.1,29.7
Arachide (Groundnut),6.17,630.0,29.8
Gombo (Okra),6.17,645.3,20.0
Mil (Pearl Millet),5.33,613.9,31.5
Niébé (Cowpea),6.37,550.8,27.0
Patate douce (Sweet Potato),5.83,831.5,27.1
Sorgho (Sorghum),6.93,555.2,30.7
Sésame (Sesame),6.62,506.7,25.5
Riz pluvial (Rainfed Rice),6.26,636.8,30.3
Arachide (Groundnut),5.96,689.6,23.7
Maïs (Maize),6.44,716.6,29.6
Manioc (Cassava),6.16,1023.2,33.1
Arachide (Groundnut),6.08,563.1,24.1
Maïs (Maize),6.02,757.6,21.6
Patate douce (Sweet Potato),5.97,1046.5,21.7
Sésame (Sesame),6.84,509.4,29.8
Riz pluvial (Rainfed Rice),6.13,695.7,30.7
Niébé (Cowpea),6.01,458.6,33.4
Gombo (Okra),6.24,717.3,30.5
Niébé (Cowpea),5.66,406.6,29.9
Niébé (Cowpea),5.78,530.8,34.9
Sésame (Sesame),6.85,580.0,33.8
Gombo (Okra),5.99,688.0,31.9
Niébé (Cowpea),6.2,392.0,26.8
Sésame (Sesame),6.7,527.1,32.9
Patate douce (Sweet Potato),5.8,838.5,21.8
Mil (Pearl Millet),5.42,583.0,35.5
Mil (Pearl Millet),5.26,816.9,32.4
Sésame (Sesame),6.38,645.2,26.5
Gombo (Okra),6.7,711.4,33.2
Sésame (Sesame),6.22,583.3,25.9
Manioc (Cassava),5.79,1452.5,29.0
Gombo (Okra),6.29,713.1,24.2
Sésame (Sesame),6.64,685.5,33.1
Mil (Pearl Millet),5.4,636.8,34.0
Gombo (Okra),5.97,650.8,25.3
Mil (Pearl Millet),5.58,833.4,40.0
Maïs (Maize),6.43,692.3,28.9
Riz pluvial (Rainfed Rice),6.06,672.1,25.8
Patate douce (Sweet Potato),6.19,926.3,25.4
Gombo (Okra),6.49,675.9,33.3
Gombo (Okra),6.05,828.4,33.3
Riz pluvial (Rainfed Rice),6.15,606.7,30.5
Sésame (Sesame),6.68,607.4,32.1
Mil (Pearl Millet),5.48,649.8,37.7
Patate douce (Sweet Potato),5.9,1008.5,25.2
Gombo (Okra),6.41,761.0,22.2
Gombo (Okra),6.28,766.7,34.1
Manioc (Cassava),6.85,1365.1,27.8
Sorgho (Sorghum),6.42,531.3,25.6
Mil (Pearl Millet),5.72,710.2,37.1
Riz pluvial (Rainfed Rice),5.54,654.7,27.4
Riz pluvial (Rainfed Rice),5.95,613.8,25.8
Niébé (Cowpea),5.86,422.0,32.5
Gombo (Okra),6.26,737.5,33.0
Gombo (Okra),6.22,861.8,20.9
Niébé (Cowpea),5.85,436.8,27.3
Sorgho (Sorghum),6.78,623.0,34.2
Maïs (Maize),6.16,584.8,22.5
Sorgho (Sorghum),7.35,642.7,28.7
Patate douce (Sweet Potato),5.92,907.9,28.2
Riz pluvial (Rainfed Rice),6.46,608.3,27.1
Arachide (Groundnut),5.97,596.6,28.9
Sésame (Sesame),6.43,432.5,26.8
Sésame (Sesame),6.17,464.5,34.9
Manioc (Cassava),5.91,1201.5,28.4
Sésame (Sesame),6.25,634.7,31.1
Maïs (Maize),6.46,568.9,23.5
Gombo (Okra),6.7,874.4,27.0
Maïs (Maize),6.2,691.9,25.9
Sorgho (Sorghum),7.04,442.8,35.0
Maïs (Maize),6.36,742.7,22.5
Manioc (Cassava),5.83,1293.9,26.8
Arachide (Groundnut),5.84,821.5,28.9
Manioc (Cassava),5.84,1449.5,34.8
Sorgho (Sorghum),6.17,447.3,28.5
Sésame (Sesame),6.87,478.5,27.9
Gombo (Okra),6.73,861.6,25.9
Manioc (Cassava),6.16,1494.2,34.5
Riz pluvial (Rainfed Rice),5.68,648.1,25.9
Gombo (Okra),6.54,714.8,25.1
Patate douce (Sweet Potato),6.04,771.6,26.6
Riz pluvial (Rainfed Rice),6.36,691.6,26.6
Sésame (Sesame),6.47,594.8,31.2
Sorgho (Sorghum),6.39,415.4,33.7
Mil (Pearl Millet),5.98,696.3,32.2
Riz pluvial (Rainfed Rice),5.93,609.7,25.3
Mil (Pearl Millet),5.95,621.5,34.4
Gombo (Okra),6.62,889.6,30.9
Sésame (Sesame),6.13,589.3,30.7
Manioc (Cassava),6.0,1498.6,25.6
Maïs (Maize),6.03,707.3,32.7
Patate douce (Sweet Potato),6.01,943.3,21.9
Patate douce (Sweet Potato),5.96,929.9,25.5
Sorgho (Sorghum),6.46,443.2,29.8
Gombo (Okra),6.01,791.6,31.5
Sésame (Sesame),6.76,613.8,34.1
Riz pluvial (Rainfed Rice),5.73,661.5,24.9
Mil (Pearl Millet),5.89,565.6,32.3
Riz pluvial (Rainfed Rice),5.65,617.7,29.9
Riz pluvial (Rainfed Rice),5.72,650.2,27.1
Maïs (Maize),6.18,806.2,31.8
Sésame (Sesame),6.16,614.5,26.1
Gombo (Okra),6.27,884.1,23.0
Arachide (Groundnut),5.99,707.3,22.3
Arachide (Groundnut),5.86,702.5,29.2
Riz pluvial (Rainfed Rice),5.77,682.3,30.4
Patate douce (Sweet Potato),6.09,946.6,25.5
Gombo (Okra),6.39,720.0,20.8
Manioc (Cassava),6.03,1288.6,28.0
Arachide (Groundnut),6.08,800.9,26.4
Sésame (Sesame),6.86,410.0,31.8
Arachide (Groundnut),6.13,816.9,25.8
Niébé (Cowpea),5.89,589.6,27.3
Arachide (Groundnut),5.83,693.5,27.2
Mil (Pearl Millet),5.91,503.4,38.4
Sorgho (Sorghum),7.14,579.4,27.1
Arachide (Groundnut),5.91,640.3,29.8
Patate douce (Sweet Potato),6.08,1020.5,24.2
Manioc (Cassava),6.32,1440.7,30.1
Manioc (Cassava),6.95,1163.5,28.1
Maïs (Maize),6.15,856.4,31.3
Mil (Pearl Millet),5.33,808.5,36.3
Gombo (Okra),6.18,600.8,34.3
Maïs (Maize),6.32,606.3,31.4
Patate douce (Sweet Potato),5.88,988.8,29.2
Gombo (Okra),6.44,853.0,31.4
Patate douce (Sweet Potato),5.9,1091.7,21.8
Gombo (Okra),6.31,839.5,29.4
Manioc (Cassava),6.95,1426.4,32.2
Sésame (Sesame),6.62,553.5,28.9
Patate douce (Sweet Potato),5.99,788.5,25.0
Sorgho (Sorghum),7.18,474.6,25.8
Sorgho (Sorghum),6.62,617.8,25.7
Niébé (Cowpea),5.66,440.8,34.8
Arachide (Groundnut),5.99,866.9,25.7
Arachide (Groundnut),6.13,747.8,27.0
Gombo (Okra),5.99,685.1,20.5
Sorgho (Sorghum),7.03,593.1,33.2
Niébé (Cowpea),5.64,556.8,30.2
Niébé (Cowpea),6.38,513.9,25.3
Maïs (Maize),6.47,714.4,29.4
Mil (Pearl Millet),5.83,712.3,34.9
Sorgho (Sorghum),6.72,602.9,32.1
Mil (Pearl Millet),5.74,627.7,37.6
Mil (Pearl Millet),5.74,516.3,38.3
Arachide (Groundnut),6.09,869.8,25.2
Sorgho (Sorghum),6.53,525.7,26.2
Sésame (Sesame),6.73,632.9,33.5
Sorgho (Sorghum),7.37,455.4,34.3
Patate douce (Sweet Potato),6.07,822.6,26.9
Gombo (Okra),6.73,826.2,33.9
Sésame (Sesame),6.15,492.9,31.1
Riz pluvial (Rainfed Rice),5.95,681.6,25.9
Riz pluvial (Rainfed Rice),5.61,670.9,28.4
Arachide (Groundnut),6.05,534.5,29.6
Gombo (Okra),6.77,785.0,32.0
Arachide (Groundnut),6.12,788.0,26.1
Patate douce (Sweet Potato),5.87,814.3,28.5
Patate douce (Sweet Potato),6.08,989.6,27.8
Mil (Pearl Millet),5.28,794.2,34.8
Patate douce (Sweet Potato),6.03,892.0,26.2
Niébé (Cowpea),6.08,365.9,29.0
Arachide (Groundnut),6.19,544.8,23.7
Gombo (Okra),6.1,632.6,23.3
Patate douce (Sweet Potato),5.89,952.8,29.9
Niébé (Cowpea),6.3,381.1,34.8
Patate douce (Sweet Potato),6.19,856.4,26.4
Arachide (Groundnut),5.81,552.8,24.1
Niébé (Cowpea),5.6,444.9,32.7
Patate douce (Sweet Potato),5.82,958.6,24.4
Niébé (Cowpea),6.33,458.8,30.6
Gombo (Okra),5.84,719.3,21.2
Maïs (Maize),6.18,871.2,29.4
Patate douce (Sweet Potato),6.14,858.2,22.9
Gombo (Okra),5.91,800.8,30.0
Maïs (Maize),6.09,835.8,28.6
Manioc (Cassava),6.0,1207.9,26.4
Manioc (Cassava),6.22,1429.1,27.4
Manioc (Cassava),5.61,1056.3,25.3
Gombo (Okra),5.86,692.5,34.0
Mil (Pearl Millet),5.83,718.2,30.2
Mil (Pearl Millet),5.86,722.2,33.1
Arachide (Groundnut),6.11,684.7,24.2
Sorgho (Sorghum),7.14,607.0,31.9
Sorgho (Sorghum),6.79,573.2,28.3
Patate douce (Sweet Potato),6.05,976.7,28.6
Manioc (Cassava),5.65,1366.5,25.3
Arachide (Groundnut),6.03,565.5,21.3
Niébé (Cowpea),6.0,493.6,27.5
Niébé (Cowpea),5.62,427.2,25.7
Manioc (Cassava),5.8,1463.9,34.3
Patate douce (Sweet Potato),5.96,922.7,22.7
Sésame (Sesame),6.76,656.2,26.8
Arachide (Groundnut),6.18,808.0,22.4
Arachide (Groundnut),6.11,580.4,23.5
Arachide (Groundnut),6.03,897.0,27.8
Maïs (Maize),6.01,879.1,31.1
Sésame (Sesame),6.64,489.5,32.2
Arachide (Groundnut),5.9,775.3,29.8
Niébé (Cowpea),6.04,362.9,31.8
Sésame (Sesame),6.31,613.1,29.4
Mil (Pearl Millet),5.33,723.8,39.4
Manioc (Cassava),5.76,1051.3,32.6
Arachide (Groundnut),6.13,842.1,23.6
Arachide (Groundnut),6.14,729.3,21.7
Riz pluvial (Rainfed Rice),6.24,665.4,25.3
Arachide (Groundnut),5.88,692.4,29.5
Sésame (Sesame),6.32,612.0,34.5
Gombo (Okra),6.56,612.3,33.2
Manioc (Cassava),6.47,1343.1,33.8
Mil (Pearl Millet),5.24,613.1,34.7
Niébé (Cowpea),5.59,355.4,27.4
Gombo (Okra),6.39,784.6,20.4
Mil (Pearl Millet),5.89,646.1,37.2
Gombo (Okra),6.06,651.4,22.9
Arachide (Groundnut),5.98,851.5,21.2
Patate douce (Sweet Potato),5.91,925.7,24.4
Patate douce (Sweet Potato),6.01,914.9,25.0
Sésame (Sesame),6.42,497.8,31.8
Arachide (Groundnut),5.87,551.8,23.3
Gombo (Okra),5.87,719.5,29.2
Patate douce (Sweet Potato),6.08,899.3,24.2
Sésame (Sesame),6.37,558.4,30.1
Gombo (Okra),6.16,809.3,32.3
Patate douce (Sweet Potato),6.02,838.8,24.7
Riz pluvial (Rainfed Rice),6.48,696.1,25.1
Sorgho (Sorghum),7.41,639.7,27.5
Mil (Pearl Millet),5.6,767.3,32.8
Sésame (Sesame),6.52,409.2,27.1
Sorgho (Sorghum),6.7,418.0,30.4
Arachide (Groundnut),5.84,718.8,24.0
Mil (Pearl Millet),5.22,788.2,36.7
Gombo (Okra),6.0,732.4,31.6
Gombo (Okra),6.79,750.3,25.4
Sésame (Sesame),6.15,670.2,25.9
Gombo (Okra),5.96,878.8,25.6
Sésame (Sesame),6.73,431.3,28.3
Gombo (Okra),6.08,751.7,24.0
Sésame (Sesame),6.94,431.1,28.2
Riz pluvial (Rainfed Rice),6.26,647.7,26.9
Arachide (Groundnut),6.15,867.0,22.1
Mil (Pearl Millet),5.27,558.0,35.7
Manioc (Cassava),6.39,1002.1,32.3
Maïs (Maize),6.5,531.8,21.5
Riz pluvial (Rainfed Rice),5.87,691.6,28.7
Patate douce (Sweet Potato),5.93,846.1,27.5
Maïs (Maize),6.33,707.9,26.9
Sésame (Sesame),6.87,650.0,26.0
Arachide (Groundnut),5.87,516.8,25.9
Sésame (Sesame),6.59,627.0,26.6
Manioc (Cassava),6.42,1311.5,29.7
Riz pluvial (Rainfed Rice),5.57,638.1,25.9
Maïs (Maize),6.12,665.7,23.7
Riz pluvial (Rainfed Rice),6.22,678.2,24.2
Sorgho (Sorghum),7.07,442.2,33.0
Mil (Pearl Millet),5.67,682.2,34.5
Mil (Pearl Millet),5.28,857.0,32.7
Maïs (Maize),6.46,606.0,23.1
Patate douce (Sweet Potato),6.18,767.6,26.3
Manioc (Cassava),5.7,1468.3,26.6
Patate douce (Sweet Potato),5.82,1090.4,26.8
Sésame (Sesame),6.87,616.8,34.4
Sésame (Sesame),6.74,432.5,28.4
Niébé (Cowpea),6.19,567.2,34.3
Mil (Pearl Millet),5.68,785.7,35.1
Niébé (Cowpea),6.02,407.3,34.5
Maïs (Maize),6.04,593.6,23.9
Gombo (Okra),6.75,853.8,25.3
Mil (Pearl Millet),5.52,733.8,35.9
Sésame (Sesame),6.18,684.7,28.6
Gombo (Okra),6.63,713.8,29.6
Arachide (Groundnut),6.06,766.9,23.9
Riz pluvial (Rainfed Rice),5.99,663.6,26.2
Riz pluvial (Rainfed Rice),6.0,660.8,26.7
Patate douce (Sweet Potato),6.15,832.7,28.2
Riz pluvial (Rainfed Rice),6.2,640.2,31.1
Maïs (Maize),6.11,616.5,26.6
Niébé (Cowpea),6.32,497.8,26.7
Sorgho (Sorghum),6.0,417.8,31.0
Riz pluvial (Rainfed Rice),5.56,656.4,26.4
Riz pluvial (Rainfed Rice),6.05,609.4,25.1
Manioc (Cassava),6.04,1230.3,34.9
Riz pluvial (Rainfed Rice),5.91,696.7,31.7
Mil (Pearl Millet),5.22,638.9,33.1
Patate douce (Sweet Potato),5.96,830.9,29.4
Patate douce (Sweet Potato),6.12,1024.7,21.9
Mil (Pearl Millet),5.4,544.8,37.6
Riz pluvial (Rainfed Rice),5.93,695.2,31.4
Maïs (Maize),6.13,856.8,28.6
Niébé (Cowpea),6.48,532.9,28.0
Maïs (Maize),6.31,729.1,30.1
Arachide (Groundnut),5.89,617.1,21.8
Manioc (Cassava),6.04,1356.7,29.4
Maïs (Maize),6.43,756.3,29.3
Niébé (Cowpea),6.37,400.2,27.6
Niébé (Cowpea),6.34,569.9,32.3
Niébé (Cowpea),6.32,584.2,30.1
Sésame (Sesame),6.22,644.5,32.2
Arachide (Groundnut),6.06,898.6,26.7
Manioc (Cassava),5.99,1037.0,27.8
Gombo (Okra),6.31,885.0,26.4
Mil (Pearl Millet),5.78,723.9,38.7
Sorgho (Sorghum),6.42,627.2,28.3
Niébé (Cowpea),6.09,545.0,34.2
Patate douce (Sweet Potato),6.11,779.4,22.5
Sorgho (Sorghum),7.28,557.3,34.9
Sorgho (Sorghum),6.74,569.3,33.6
Manioc (Cassava),6.56,1030.9,33.0
Niébé (Cowpea),5.67,472.7,33.4
Arachide (Groundnut),5.85,707.3,21.7
Niébé (Cowpea),6.26,459.7,26.7
Gombo (Okra),5.98,753.9,29.2
Sorgho (Sorghum),6.55,408.2,33.3
Arachide (Groundnut),5.82,697.0,22.2
Mil (Pearl Millet),5.22,832.0,39.5
Arachide (Groundnut),5.99,834.0,21.5
Riz pluvial (Rainfed Rice),6.4,697.9,28.7
Gombo (Okra),6.23,896.3,33.5
Gombo (Okra),6.59,779.9,31.5
Gombo (Okra),5.81,762.5,29.9
Mil (Pearl Millet),5.62,729.5,37.0
Gombo (Okra),6.2,682.4,34.8
Sésame (Sesame),6.44,421.6,34.1
Gombo (Okra),5.85,895.4,34.5
Riz pluvial (Rainfed Rice),5.95,648.8,26.6
Gombo (Okra),6.77,611.3,29.9
Riz pluvial (Rainfed Rice),6.01,692.5,27.8
Niébé (Cowpea),5.54,414.4,31.0
Gombo (Okra),6.43,726.4,25.1
Mil (Pearl Millet),5.6,744.6,39.0
Mil (Pearl Millet),5.96,683.8,30.7
Arachide (Groundnut),5.86,870.7,21.1
Sorgho (Sorghum),6.17,619.1,28.5
Patate douce (Sweet Potato),5.85,1027.7,22.5
Arachide (Groundnut),5.82,565.8,21.8
Patate douce (Sweet Potato),6.08,976.6,21.1
Sorgho (Sorghum),6.67,432.9,35.0
Niébé (Cowpea),6.3,384.6,32.0
Riz pluvial (Rainfed Rice),5.91,689.9,30.0
Mil (Pearl Millet),5.67,842.1,38.7
Manioc (Cassava),5.64,1452.1,34.0
Sorgho (Sorghum),6.88,587.1,27.8
Niébé (Cowpea),6.46,475.1,33.4
Niébé (Cowpea),5.79,420.3,30.9
Niébé (Cowpea),6.3,470.2,33.7
Manioc (Cassava),5.76,1236.9,26.0
Sésame (Sesame),6.11,426.2,30.5
Sorgho (Sorghum),6.02,492.9,27.5
Gombo (Okra),6.02,719.3,33.2
Sésame (Sesame),6.22,546.9,28.2
Riz pluvial (Rainfed Rice),6.4,619.8,29.4
Manioc (Cassava),6.52,1198.9,32.2
Maïs (Maize),6.29,758.4,22.2
Niébé (Cowpea),5.72,577.3,25.8
Sésame (Sesame),6.79,670.7,25.1
Sorgho (Sorghum),7.34,532.2,30.3
Riz pluvial (Rainfed Rice),6.12,692.0,31.0
Riz pluvial (Rainfed Rice),5.74,608.8,26.5
Maïs (Maize),6.14,852.3,21.5
Sorgho (Sorghum),6.11,406.9,30.0
Maïs (Maize),6.36,760.2,21.5
Riz pluvial (Rainfed Rice),6.29,688.6,28.3
Gombo (Okra),6.45,785.9,24.7
Sésame (Sesame),6.31,405.1,25.4
Arachide (Groundnut),5.8,805.3,28.4
Sésame (Sesame),6.55,658.9,29.8
Sorgho (Sorghum),6.37,638.9,26.0
Mil (Pearl Millet),5.98,600.2,31.5
Sésame (Sesame),6.71,519.8,31.2
Patate douce (Sweet Potato),6.0,817.3,27.5
Gombo (Okra),6.62,797.7,34.5
Sésame (Sesame),6.09,584.6,28.9
Arachide (Groundnut),5.95,781.2,25.5
Gombo (Okra),6.24,673.8,23.2
Niébé (Cowpea),6.41,598.1,34.7
Gombo (Okra),6.4,783.2,31.7
Gombo (Okra),6.76,825.3,25.7
Riz pluvial (Rainfed Rice),5.93,609.8,27.6
Riz pluvial (Rainfed Rice),6.13,638.4,29.2
Patate douce (Sweet Potato),5.99,1041.3,28.4
Riz pluvial (Rainfed Rice),6.44,640.5,31.1
Gombo (Okra),6.44,888.1,32.7
Manioc (Cassava),6.47,1103.7,34.3
Sorgho (Sorghum),6.36,483.1,31.9
Sésame (Sesame),6.66,477.3,33.9
Niébé (Cowpea),6.4,545.0,29.9
Sésame (Sesame),6.17,597.2,27.3
Manioc (Cassava),6.21,1409.7,34.0
Niébé (Cowpea),6.41,566.1,30.6
Patate douce (Sweet Potato),6.02,862.9,28.0
Maïs (Maize),6.22,565.8,29.8
Gombo (Okra),5.83,697.4,34.5
Sésame (Sesame),6.82,447.4,27.3
Gombo (Okra),6.57,886.7,27.8
Patate douce (Sweet Potato),5.83,1098.6,29.2
Sésame (Sesame),6.21,582.0,26.5
Mil (Pearl Millet),5.69,716.6,35.2
Sorgho (Sorghum),7.11,606.1,27.4
Maïs (Maize),6.15,828.2,24.5
Sorgho (Sorghum),7.32,433.2,29.0
Manioc (Cassava),5.84,1354.6,30.6
Maïs (Maize),6.07,828.6,32.0
Patate douce (Sweet Potato),6.03,789.4,23.0
Gombo (Okra),6.23,807.4,30.9
Sésame (Sesame),6.9,617.0,26.5
Arachide (Groundnut),6.02,563.9,25.1
Niébé (Cowpea),6.03,361.4,34.2
Manioc (Cassava),5.85,1292.1,30.1
Mil (Pearl Millet),5.73,748.6,38.0
Patate douce (Sweet Potato),6.06,844.0,22.7
Patate douce (Sweet Potato),5.95,873.5,29.5
Arachide (Groundnut),6.14,867.1,29.8
Niébé (Cowpea),6.22,524.5,29.4
Gombo (Okra),6.58,784.8,27.0
Riz pluvial (Rainfed Rice),5.98,654.4,25.5
Mil (Pearl Millet),5.47,861.7,38.4
Patate douce (Sweet Potato),5.91,918.0,22.9
Manioc (Cassava),5.76,1118.3,29.0
Maïs (Maize),6.29,836.3,27.3
Gombo (Okra),6.64,680.9,26.3
Maïs (Maize),6.09,896.3,27.0
Sésame (Sesame),6.57,517.5,33.2
Sorgho (Sorghum),7.36,536.4,30.3
Patate douce (Sweet Potato),6.09,827.6,25.2
Patate douce (Sweet Potato),5.9,932.5,22.6
Maïs (Maize),6.03,522.7,27.5
Patate douce (Sweet Potato),6.0,1017.8,24.7
Maïs (Maize),6.35,712.4,28.2
Maïs (Maize),6.1,834.9,30.8
Mil (Pearl Millet),5.21,523.5,34.4
Mil (Pearl Millet),5.47,754.8,32.0
Riz pluvial (Rainfed Rice),6.39,643.8,32.0
Mil (Pearl Millet),5.42,616.2,34.0
Sésame (Sesame),6.32,640.8,25.2
Patate douce (Sweet Potato),5.85,1056.0,28.5
Riz pluvial (Rainfed Rice),5.55,643.8,30.0
Sésame (Sesame),6.46,507.1,28.9
Sorgho (Sorghum),7.15,427.8,31.8
Sorgho (Sorghum),7.22,615.1,27.2
Sésame (Sesame),6.1,461.9,34.2
Niébé (Cowpea),5.8,369.6,34.6
Mil (Pearl Millet),5.22,675.4,38.6
Arachide (Groundnut),5.92,798.9,25.7
Gombo (Okra),5.88,622.4,24.9
Arachide (Groundnut),6.15,603.1,24.2
Maïs (Maize),6.23,893.8,24.2
Patate douce (Sweet Potato),5.86,1066.3,25.5
Mil (Pearl Millet),5.49,505.0,35.9
Arachide (Groundnut),5.94,808.8,22.9
Mil (Pearl Millet),5.99,878.5,31.2
Niébé (Cowpea),6.15,460.5,27.3
Gombo (Okra),5.86,616.7,34.9
Sorgho (Sorghum),6.44,420.2,31.5
Niébé (Cowpea),6.06,478.8,30.1
Sorgho (Sorghum),7.4,591.6,26.9
Gombo (Okra),5.99,888.3,33.7
Mil (Pearl Millet),5.65,764.2,37.8
Manioc (Cassava),6.06,1209.6,29.0
Gombo (Okra),5.94,679.0,23.2
Manioc (Cassava),5.96,1192.7,29.8
Gombo (Okra),6.24,616.1,31.2
Niébé (Cowpea),6.07,510.4,32.4
Riz pluvial (Rainfed Rice),5.69,617.8,28.7
Patate douce (Sweet Potato),6.01,750.6,29.6
Riz pluvial (Rainfed Rice),6.15,691.1,30.4
Arachide (Groundnut),6.03,851.1,29.1
Gombo (Okra),6.31,785.4,23.2
Patate douce (Sweet Potato),5.92,1077.7,26.9
Sésame (Sesame),6.67,457.9,26.9
Manioc (Cassava),5.82,1334.3,26.4
Gombo (Okra),6.73,710.3,21.1
Sésame (Sesame),6.3,539.8,31.1
Arachide (Groundnut),5.91,680.4,29.4
Sorgho (Sorghum),7.15,448.7,32.4
Patate douce (Sweet Potato),6.14,1066.0,27.8
Manioc (Cassava),6.69,1410.5,34.1
Sésame (Sesame),6.13,556.2,29.3
Maïs (Maize),6.18,538.2,29.5
Riz pluvial (Rainfed Rice),5.95,698.0,31.8
Sorgho (Sorghum),7.38,642.9,29.7
Gombo (Okra),6.54,616.5,27.7
Gombo (Okra),5.9,799.0,20.2
Riz pluvial (Rainfed Rice),6.17,610.9,31.5
Gombo (Okra),5.96,795.6,33.6
Mil (Pearl Millet),5.43,834.7,37.7
Sésame (Sesame),6.59,542.8,29.3
Sorgho (Sorghum),7.24,613.1,33.1
Sésame (Sesame),6.73,539.0,26.7
Sésame (Sesame),6.32,467.2,25.0
Arachide (Groundnut),6.01,530.7,25.2
Sésame (Sesame),6.35,607.4,30.2
Sorgho (Sorghum),7.19,483.1,30.6
Sésame (Sesame),6.11,689.6,34.0
Arachide (Groundnut),6.09,563.6,22.6
Gombo (Okra),5.93,891.1,31.1
Patate douce (Sweet Potato),5.87,954.0,28.2
Mil (Pearl Millet),5.85,805.7,37.2
Sorgho (Sorghum),6.43,555.5,28.0
Arachide (Groundnut),6.09,520.8,24.8
